country,latitude,longitude,continent,reg_latitude,reg_longitude,ISO3,REGION,GEO3
Andorra,42.546245,1.601554,Europe,48.499998,18.3833318,AND,Europe,Western Europe
United Arab Emirates,23.424076,53.847818,Middle East,29.2985,42.551,ARE,Asia,Arabian Peninsula
Afghanistan,33.93911,67.709953,Central Asia,45.4507,68.8319,AFG,Asia,South Asia
Antigua and Barbuda,17.060816,-61.796428,Caribbean,21.4691,-78.6569,ATG,South America,Caribbean
Anguilla,18.220554,-63.068615,Caribbean,21.4691,-78.6569,AIA,South America,Caribbean
Albania,41.153332,20.168331,Europe,48.499998,18.3833318,ALB,Europe,Central Europe
Armenia,40.069099,45.038189,Europe,48.499998,18.3833318,ARM,Europe,Eastern Europe
Netherlands Antilles,12.226079,-69.060087,Caribbean,21.4691,-78.6569,,South America,Caribbean
Angola,-11.202692,17.873887,Africa,8.7832,29.5085,AGO,Africa,Southern Africa
Argentina,-38.416097,-63.616672,South America,-8.7832,-55.4915,ARG,South America,South America
American Samoa,-14.270972,-170.132217,Oceania,-25.2744,148.7751,ASM,Australia,South Pacific
Austria,47.516231,14.550072,Europe,48.499998,18.3833318,AUT,Europe,Western Europe
Australia,-25.274398,133.775136,Oceania,-25.2744,148.7751,AUS,Australia,Australia and New Zealand
Aruba,12.52111,-69.968338,Caribbean,21.4691,-78.6569,ABW,South America,Caribbean
Azerbaijan,40.143105,47.576927,Europe,48.499998,18.3833318,AZE,Europe,Eastern Europe
Bosnia and Herzegovina,43.915886,17.679076,Europe,48.499998,18.3833318,BIH,Europe,Central Europe
Barbados,13.193887,-59.543198,Caribbean,21.4691,-78.6569,BRB,South America,Caribbean
Bangladesh,23.684994,90.356331,East Asia,38.7946,106.5348,BGD,Asia,South Asia
Belgium,50.503887,4.469936,Europe,48.499998,18.3833318,BEL,Europe,Western Europe
Burkina Faso,12.238333,-1.561593,Africa,8.7832,29.5085,BFA,Africa,Western Africa
Bulgaria,42.733883,25.48583,Europe,48.499998,18.3833318,BGR,Europe,Central Europe
Bahrain,25.930414,50.637772,Middle East,29.2985,42.551,BHR,Asia,Arabian Peninsula
Burundi,-3.373056,29.918886,Africa,8.7832,29.5085,BDI,Africa,Eastern Africa
Benin,9.30769,2.315834,Africa,8.7832,29.5085,BEN,Africa,Western Africa
Bermuda,32.321384,-64.75737,North America,48.3544,-99.9981,BMU,South America,Caribbean
Brunei Darussalam,4.535277,114.727669,East Asia,38.7946,106.5348,BRN,Asia,Southeast Asia
Bolivia,-16.290154,-63.588653,South America,-8.7832,-55.4915,BOL,South America,South America
Brazil,-14.235004,-51.92528,South America,-8.7832,-55.4915,BRA,South America,South America
Bahamas,25.03428,-77.39628,Caribbean,21.4691,-78.6569,BHS,South America,Caribbean
Bhutan,27.514162,90.433601,East Asia,38.7946,106.5348,BTN,Asia,South Asia
Bouvet Island,-54.423199,3.413194,Africa,8.7832,29.5085,,Africa,Southern Africa
Botswana,-22.328474,24.684866,Africa,8.7832,29.5085,BWA,Africa,Southern Africa
Belarus,53.709807,27.953389,Europe,48.499998,18.3833318,BLR,Europe,Eastern Europe
Belize,17.189877,-88.49765,Central America,12.769,-85.6024,BLZ,South America,Meso-America
Canada,56.130366,-106.346771,North America,48.3544,-99.9981,CAN,North America,Canada
Cocos [Keeling] Islands,-12.164165,96.870956,Oceania,-25.2744,148.7751,,Australia,Southeast Asia
Congo [DRC],-4.038333,21.758664,Africa,8.7832,29.5085,COD,Africa,Central Africa
Central African Republic,6.611111,20.939444,Africa,8.7832,29.5085,CAF,Africa,Central Africa
Congo [Republic],-0.228021,15.827659,Africa,8.7832,29.5085,COG,Africa,Central Africa
Switzerland,46.818188,8.227512,Europe,48.499998,18.3833318,CHE,Europe,Western Europe
Côte d'Ivoire,7.539989,-5.54708,Africa,8.7832,29.5085,CIV,Africa,Western Africa
Cook Islands,-21.236736,-159.777671,Oceania,-25.2744,148.7751,COK,Australia,South Pacific
Chile,-35.675147,-71.542969,South America,-8.7832,-55.4915,CHL,South America,South America
Cameroon,7.369722,12.354722,Africa,8.7832,29.5085,CMR,Africa,Central Africa
China,35.86166,104.195397,East Asia,38.7946,106.5348,CHN,Asia,NW Pacific and East Asia
Colombia,4.570868,-74.297333,South America,-8.7832,-55.4915,COL,South America,South America
Costa Rica,9.748917,-83.753428,Central America,12.769,-85.6024,CRI,South America,Meso-America
Cuba,21.521757,-77.781167,Caribbean,21.4691,-78.6569,CUB,South America,Caribbean
Cape Verde,16.002082,-24.013197,Africa,8.7832,29.5085,CPV,Africa,Central Africa
Christmas Island,-10.447525,105.690449,Oceania,-25.2744,148.7751,,Australia,Southeast Asia
Cyprus,35.126413,33.429859,Europe,48.499998,18.3833318,CYP,Europe,Central Europe
Czech Republic,49.817492,15.472962,Europe,48.499998,18.3833318,CZE,Europe,Central Europe
Germany,51.165691,10.451526,Europe,48.499998,18.3833318,DEU,Europe,Western Europe
Djibouti,11.825138,42.590275,Africa,8.7832,29.5085,DJI,Africa,Eastern Africa
Denmark,56.26392,9.501785,Europe,48.499998,18.3833318,DNK,Europe,Western Europe
Dominica,15.414999,-61.370976,Caribbean,21.4691,-78.6569,DMA,South America,Caribbean
Dominican Republic,18.735693,-70.162651,Caribbean,21.4691,-78.6569,DOM,South America,Caribbean
Algeria,28.033886,1.659626,Africa,8.7832,29.5085,DZA,Africa,North Africa
Ecuador,-1.831239,-78.183406,South America,-8.7832,-55.4915,ECU,South America,South America
Estonia,58.595272,25.013607,Europe,48.499998,18.3833318,EST,Europe,Central Europe
Egypt,26.820553,30.802498,Africa,8.7832,29.5085,EGY,Africa,North Africa
Western Sahara,24.215527,-12.885834,Africa,8.7832,29.5085,ESH,Africa,North Africa
